"group","id","niche_type","volume_boot_mean","volume_lwr","volume_upr"
"weather","5181","Potential",57.2678082567421,40.4933195068578,74.412101671996
"weather","5181","Realized",310.862974267511,154.483361467748,476.1703241567
"weather","5264","Potential",450.060288671964,357.965347907327,544.81078544843
"weather","5264","Realized",634.347364921334,369.087374659605,940.295629436491
"weather","5268","Potential",531.326265850169,431.880717139777,636.396047071646
"weather","5268","Realized",476.521481477021,306.493025818829,697.605919844089
"weather","5270","Potential",212.206559414869,146.633512906527,263.081335161033
"weather","5270","Realized",1129.40701739426,514.997829941705,1668.14587979987
"weather","5277","Potential",35.2252818686588,16.0307784225971,64.493889940978
"weather","5277","Realized",79.1047729229062,31.8237429986795,189.109198293717
"weather","5278","Potential",191.224360405638,148.294267841064,233.982261792842
"weather","5278","Realized",374.2149466977,236.520264579415,554.050110977927
"weather","5282","Potential",50.5924060019941,30.0103811097412,70.3313096462828
"weather","5282","Realized",91.1571414266782,59.5706575586492,137.303715678141
"weather","5284","Potential",153.480502133532,91.0194713778776,195.712612396022
"weather","5284","Realized",NA,NA,NA
"weather","5285","Potential",180.799541028041,143.168132995086,212.315797332267
"weather","5285","Realized",323.060645538584,141.825594281205,523.733237453289
"weather","5301","Potential",423.152991479799,389.605326726341,454.324144160488
"weather","5301","Realized",611.478118045571,519.484945801882,692.346120401321
"weather","5303","Potential",366.735944009324,308.299008962535,428.283765564855
"weather","5303","Realized",1318.44535381855,975.344157342398,1651.34690929646
"weather","5308","Potential",1.47173032405535,0.778028156533862,2.16295454981416
"weather","5308","Realized",5.57092531052939,1.12562395447628,12.1319239112676
"weather","5439","Potential",554.22945934186,478.950616319015,604.068006593823
"weather","5439","Realized",770.531471713537,633.974252723879,975.587189841711
