"group","id","jaccard_lwr","jaccard_upr","sorensen_lwr","sorensen_upr","frac_unique_1_lwr","frac_unique_1_upr","frac_unique_2_lwr","frac_unique_2_upr"
"soil","5181",0,0.0017368776836092,0,0.00346773231864742,0.998263122316391,1,0,0.5
"soil","5264",0.129365814064423,0.381324009772996,0.229094613771356,0.552113770946413,0.577608139549898,0.869334507486683,0.0658327450414629,0.204142402966025
"soil","5268",0.0104416657221499,0.0546214368426018,0.0206675275527311,0.10358491373395,0.944973768704049,0.989555589778584,0.00854700854700852,0.131795302013423
"soil","5270",0.0352902470517307,0.1607349681724,0.0681745950448403,0.276953778915181,0.809893051287663,0.964235335339519,0.21529843538729,0.541958061740599
"soil","5277",0.0922073576968825,0.368749151516439,0.168845876906676,0.538811390122084,0.296526065835267,0.905441310200492,0.131599227044142,0.847240483638109
"soil","5278",0.248262285272609,0.39302347067646,0.397772623057736,0.564274010956026,0.36696618283764,0.701899010983441,0.300833865640475,0.681550405482498
"soil","5282",0.0288752580556196,0.196847031136667,0.0561297549487414,0.328942671862744,0.483710781621664,0.734260447248599,0.676341367124806,0.969680529379325
"soil","5284",NA,NA,NA,NA,NA,NA,NA,NA
"soil","5285",0.12237256640674,0.213876120736166,0.218060500866571,0.352385397979942,0.716540779135705,0.866577147249874,0.388792963276682,0.539580750439022
"soil","5301",0.345286570419955,0.514282005492742,0.513327903062677,0.679242048153108,0.41602333449957,0.640142937231318,0.105295375415143,0.188158396957488
"soil","5303",0.232374465225628,0.609180224573538,0.377116641847194,0.757131082734513,0.0974440225900436,0.206264341641667,0.282089835689739,0.76124909333754
"soil","5308",NA,NA,NA,NA,NA,NA,NA,NA
"soil","5439",0.0789908247219587,0.24858544876595,0.146416119292396,0.398187275531343,0.710089327929206,0.919847461473707,0.146096654168628,0.390049741224299
