"group","id","niche_type","volume_boot_mean","volume_lwr","volume_upr"
"soil","5181","Potential",22.2004954377028,13.7858039758433,34.0019038885809
"soil","5181","Realized",49769.8313267925,16582.4268853299,92092.4124592057
"soil","5264","Potential",492.647747283334,407.32458984842,567.011511583563
"soil","5264","Realized",1786.84767304785,966.548680795014,3053.52248547818
"soil","5268","Potential",94.2989628418571,73.0809496243988,119.208810073073
"soil","5268","Realized",3750.76291454836,1683.1715051407,7829.82934542033
"soil","5270","Potential",14.7337699092469,6.85513799537119,26.6580173669592
"soil","5270","Realized",107.824264428322,53.8046348287402,181.196895696201
"soil","5277","Potential",172.022260856165,82.3114038164906,292.410191024621
"soil","5277","Realized",362.712428185058,47.1151567772395,1107.36569036009
"soil","5278","Potential",74.5404958185313,56.5746347812828,95.9373657873945
"soil","5278","Realized",91.91282041517,40.6116008985177,149.146540521528
"soil","5282","Potential",35.4805951517888,24.2940764544592,57.8056224565151
"soil","5282","Realized",12.429966352576,3.11748105176777,26.7535181214977
"soil","5284","Potential",NA,NA,NA
"soil","5284","Realized",NA,NA,NA
"soil","5285","Potential",37.2612620281694,27.4836805454948,47.5525669391642
"soil","5285","Realized",102.288072642077,68.2955134030923,137.530704278505
"soil","5301","Potential",341.922475442871,261.770866780054,380.821204919294
"soil","5301","Realized",619.852413568619,503.54871506644,760.610102880776
"soil","5303","Potential",28726.1702002056,24150.1456793626,33411.8477937571
"soil","5303","Realized",15782.7668602869,8166.08108912748,24778.1573801826
"soil","5308","Potential",21.1400891448212,11.0999733465348,37.8451730404526
"soil","5308","Realized",NA,NA,NA
"soil","5439","Potential",27.9570209406043,20.2075193741758,38.9857848768189
"soil","5439","Realized",140.289741274001,70.1331404143765,272.645743963226
