"model","term","id","x","y"
"Human activity","Population density","5181",-2.70267533627375,4.45078743192599
"Human activity","Population density","5181",-2.23277475283645,3.67695138031169
"Human activity","Population density","5181",-1.76287416939915,2.9031153286974
"Human activity","Population density","5181",-1.29297358596185,2.1292792770831
"Human activity","Population density","5181",-0.823073002524554,1.3554432254688
"Human activity","Population density","5181",-0.353172419087254,0.581607173854506
"Human activity","Population density","5181",0.116728164350044,-0.192228877759791
"Human activity","Population density","5181",0.586628747787344,-0.966064929374089
"Human activity","Population density","5181",1.05652933122464,-1.73990098098839
"Human activity","Population density","5181",1.52642991466194,-2.51373703260268
"Human activity","Population density","5181",1.99633049809924,-3.28757308421698
"Human activity","Population density","5181",2.46623108153654,-4.06140913583128
"Human activity","Population density","5181",2.93613166497384,-4.83524518744557
"Human activity","Population density","5181",3.40603224841114,-5.60908123905987
"Human activity","Population density","5181",3.87593283184844,-6.38291729067417
"Human activity","Population density","5181",4.34583341528574,-7.15675334228847
"Human activity","Population density","5181",4.81573399872304,-7.93058939390276
"Human activity","Population density","5181",5.28563458216034,-8.70442544551706
"Human activity","Population density","5181",5.75553516559764,-9.47826149713136
"Human activity","Population density","5181",6.22543574903493,-10.2520975487457
"Human activity","Population density","5181",6.69533633247223,-11.02593360036
"Human activity","Population density","5181",7.16523691590953,-11.7997696519743
"Human activity","Population density","5181",7.63513749934683,-12.5736057035885
"Human activity","Population density","5181",8.10503808278413,-13.3474417552028
"Human activity","Population density","5181",8.57493866622143,-14.1212778068171
"Human activity","Population density","5181",9.04483924965873,-14.8951138584314
"Human activity","Population density","5181",9.51473983309603,-15.6689499100457
"Human activity","Population density","5181",9.98464041653333,-16.44278596166
"Human activity","Population density","5181",10.4545409999706,-17.2166220132743
"Human activity","Population density","5181",10.9244415834079,-17.9904580648886
"Human activity","Population density","5181",11.3943421668452,-18.7642941165029
"Human activity","Population density","5181",11.8642427502825,-19.5381301681172
"Human activity","Population density","5181",12.3341433337198,-20.3119662197315
"Human activity","Population density","5181",12.8040439171571,-21.0858022713458
"Human activity","Population density","5181",13.2739445005944,-21.8596383229601
"Human activity","Population density","5181",13.7438450840317,-22.6334743745744
"Human activity","Population density","5181",14.213745667469,-23.4073104261887
"Human activity","Population density","5181",14.6836462509063,-24.181146477803
"Human activity","Population density","5181",15.1535468343436,-24.9549825294173
"Human activity","Population density","5181",15.6234474177809,-25.7288185810316
"Human activity","Population density","5181",16.0933480012182,-26.5026546326459
"Human activity","Population density","5181",16.5632485846555,-27.2764906842602
"Human activity","Population density","5181",17.0331491680928,-28.0503267358745
"Human activity","Population density","5181",17.5030497515301,-28.8241627874888
"Human activity","Population density","5181",17.9729503349674,-29.5979988391031
"Human activity","Population density","5181",18.4428509184047,-30.3718348907174
"Human activity","Population density","5181",18.912751501842,-31.1456709423317
"Human activity","Population density","5181",19.3826520852793,-31.919506993946
"Human activity","Population density","5181",19.8525526687166,-32.6933430455603
"Human activity","Population density","5181",20.3224532521539,-33.4671790971746
"Human activity","Population density","5181",20.7923538355912,-34.2410151487889
"Human activity","Population density","5181",21.2622544190285,-35.0148512004032
"Human activity","Population density","5181",21.7321550024658,-35.7886872520175
"Human activity","Population density","5181",22.2020555859031,-36.5625233036318
"Human activity","Population density","5181",22.6719561693404,-37.3363593552461
"Human activity","Population density","5181",23.1418567527777,-38.1101954068604
"Human activity","Population density","5181",23.611757336215,-38.8840314584747
"Human activity","Population density","5181",24.0816579196523,-39.657867510089
"Human activity","Population density","5181",24.5515585030896,-40.4317035617033
"Human activity","Population density","5181",25.0214590865269,-41.2055396133175
"Human activity","Population density","5264",-2.70267533627375,0.307863517952152
"Human activity","Population density","5264",-2.23277475283645,0.25433683468274
"Human activity","Population density","5264",-1.76287416939915,0.200810151413328
"Human activity","Population density","5264",-1.29297358596185,0.147283468143917
