"model","term","id","x","y"
"Food resources","ETF abundance","5181",-1.64190485102039,1.12589093206721
"Food resources","ETF abundance","5181",-1.5445851709199,1.05915664763609
"Food resources","ETF abundance","5181",-1.44726549081941,0.992422363204978
"Food resources","ETF abundance","5181",-1.34994581071892,0.925688078773863
"Food resources","ETF abundance","5181",-1.25262613061843,0.858953794342749
"Food resources","ETF abundance","5181",-1.15530645051794,0.792219509911634
"Food resources","ETF abundance","5181",-1.05798677041746,0.725485225480519
"Food resources","ETF abundance","5181",-0.960667090316967,0.658750941049404
"Food resources","ETF abundance","5181",-0.863347410216478,0.592016656618289
"Food resources","ETF abundance","5181",-0.766027730115989,0.525282372187174
"Food resources","ETF abundance","5181",-0.6687080500155,0.458548087756059
"Food resources","ETF abundance","5181",-0.571388369915011,0.391813803324944
"Food resources","ETF abundance","5181",-0.474068689814522,0.325079518893829
"Food resources","ETF abundance","5181",-0.376749009714033,0.258345234462715
"Food resources","ETF abundance","5181",-0.279429329613544,0.1916109500316
"Food resources","ETF abundance","5181",-0.182109649513056,0.124876665600485
"Food resources","ETF abundance","5181",-0.0847899694125667,0.0581423811693698
"Food resources","ETF abundance","5181",0.0125297106879223,-0.00859190326174517
"Food resources","ETF abundance","5181",0.109849390788411,-0.07532618769286
"Food resources","ETF abundance","5181",0.2071690708889,-0.142060472123975
"Food resources","ETF abundance","5181",0.304488750989389,-0.20879475655509
"Food resources","ETF abundance","5181",0.401808431089878,-0.275529040986205
"Food resources","ETF abundance","5181",0.499128111190366,-0.34226332541732
"Food resources","ETF abundance","5181",0.596447791290855,-0.408997609848434
"Food resources","ETF abundance","5181",0.693767471391344,-0.475731894279549
"Food resources","ETF abundance","5181",0.791087151491833,-0.542466178710664
"Food resources","ETF abundance","5181",0.888406831592322,-0.609200463141779
"Food resources","ETF abundance","5181",0.985726511692811,-0.675934747572894
"Food resources","ETF abundance","5181",1.0830461917933,-0.742669032004009
"Food resources","ETF abundance","5181",1.18036587189379,-0.809403316435124
"Food resources","ETF abundance","5181",1.27768555199428,-0.876137600866239
"Food resources","ETF abundance","5181",1.37500523209477,-0.942871885297354
"Food resources","ETF abundance","5181",1.47232491219526,-1.00960616972847
"Food resources","ETF abundance","5181",1.56964459229574,-1.07634045415958
"Food resources","ETF abundance","5181",1.66696427239623,-1.1430747385907
"Food resources","ETF abundance","5181",1.76428395249672,-1.20980902302181
"Food resources","ETF abundance","5181",1.86160363259721,-1.27654330745293
"Food resources","ETF abundance","5181",1.9589233126977,-1.34327759188404
"Food resources","ETF abundance","5181",2.05624299279819,-1.41001187631516
"Food resources","ETF abundance","5181",2.15356267289868,-1.47674616074627
"Food resources","ETF abundance","5181",2.25088235299917,-1.54348044517739
"Food resources","ETF abundance","5181",2.34820203309966,-1.6102147296085
"Food resources","ETF abundance","5181",2.44552171320014,-1.67694901403962
"Food resources","ETF abundance","5181",2.54284139330063,-1.74368329847073
"Food resources","ETF abundance","5181",2.64016107340112,-1.81041758290185
"Food resources","ETF abundance","5181",2.73748075350161,-1.87715186733296
"Food resources","ETF abundance","5181",2.8348004336021,-1.94388615176408
"Food resources","ETF abundance","5181",2.93212011370259,-2.01062043619519
"Food resources","ETF abundance","5181",3.02943979380308,-2.07735472062631
"Food resources","ETF abundance","5181",3.12675947390357,-2.14408900505742
"Food resources","ETF abundance","5181",3.22407915400406,-2.21082328948854
"Food resources","ETF abundance","5181",3.32139883410454,-2.27755757391965
"Food resources","ETF abundance","5181",3.41871851420503,-2.34429185835077
"Food resources","ETF abundance","5181",3.51603819430552,-2.41102614278188
"Food resources","ETF abundance","5181",3.61335787440601,-2.477760427213
"Food resources","ETF abundance","5181",3.7106775545065,-2.54449471164411
"Food resources","ETF abundance","5181",3.80799723460699,-2.61122899607523
"Food resources","ETF abundance","5181",3.90531691470748,-2.67796328050634
"Food resources","ETF abundance","5181",4.00263659480797,-2.74469756493746
"Food resources","ETF abundance","5181",4.09995627490845,-2.81143184936857
"Food resources","ETF abundance","5264",-1.64190485102039,0.37420606088135
"Food resources","ETF abundance","5264",-1.5445851709199,0.352025960667866
"Food resources","ETF abundance","5264",-1.44726549081941,0.329845860454382
"Food resources","ETF abundance","5264",-1.34994581071892,0.307665760240899
"Food resources","ETF abundance","5264",-1.25262613061843,0.285485660027415
"Food resources","ETF abundance","5264",-1.15530645051794,0.263305559813932
"Food resources","ETF abundance","5264",-1.05798677041746,0.241125459600448
"Food resources","ETF abundance","5264",-0.960667090316967,0.218945359386965
"Food resources","ETF abundance","5264",-0.863347410216478,0.196765259173481
"Food resources","ETF abundance","5264",-0.766027730115989,0.174585158959998
"Food resources","ETF abundance","5264",-0.6687080500155,0.152405058746514
"Food resources","ETF abundance","5264",-0.571388369915011,0.13022495853303
"Food resources","ETF abundance","5264",-0.474068689814522,0.108044858319547
"Food resources","ETF abundance","5264",-0.376749009714033,0.0858647581060634
"Food resources","ETF abundance","5264",-0.279429329613544,0.0636846578925798
"Food resources","ETF abundance","5264",-0.182109649513056,0.0415045576790963
"Food resources","ETF abundance","5264",-0.0847899694125667,0.0193244574656127
"Food resources","ETF abundance","5264",0.0125297106879223,-0.00285564274787085
"Food resources","ETF abundance","5264",0.109849390788411,-0.0250357429613544
"Food resources","ETF abundance","5264",0.2071690708889,-0.0472158431748379
"Food resources","ETF abundance","5264",0.304488750989389,-0.0693959433883215
"Food resources","ETF abundance","5264",0.401808431089878,-0.091576043601805
"Food resources","ETF abundance","5264",0.499128111190366,-0.113756143815289
"Food resources","ETF abundance","5264",0.596447791290855,-0.135936244028772
"Food resources","ETF abundance","5264",0.693767471391344,-0.158116344242256
"Food resources","ETF abundance","5264",0.791087151491833,-0.180296444455739
"Food resources","ETF abundance","5264",0.888406831592322,-0.202476544669223
"Food resources","ETF abundance","5264",0.985726511692811,-0.224656644882706
"Food resources","ETF abundance","5264",1.0830461917933,-0.24683674509619
"Food resources","ETF abundance","5264",1.18036587189379,-0.269016845309673
"Food resources","ETF abundance","5264",1.27768555199428,-0.291196945523157
"Food resources","ETF abundance","5264",1.37500523209477,-0.31337704573664
"Food resources","ETF abundance","5264",1.47232491219526,-0.335557145950124
"Food resources","ETF abundance","5264",1.56964459229574,-0.357737246163608
