"model","term","id","x","y"
"Vegetation","NDVI","5181",-5.41190489365909,0.610914811963698
"Vegetation","NDVI","5181",-5.28835374321663,0.596967924624844
"Vegetation","NDVI","5181",-5.16480259277416,0.58302103728599
"Vegetation","NDVI","5181",-5.0412514423317,0.569074149947136
"Vegetation","NDVI","5181",-4.91770029188923,0.555127262608281
"Vegetation","NDVI","5181",-4.79414914144677,0.541180375269428
"Vegetation","NDVI","5181",-4.67059799100431,0.527233487930573
"Vegetation","NDVI","5181",-4.54704684056184,0.513286600591719
"Vegetation","NDVI","5181",-4.42349569011938,0.499339713252865
"Vegetation","NDVI","5181",-4.29994453967691,0.485392825914011
"Vegetation","NDVI","5181",-4.17639338923445,0.471445938575157
"Vegetation","NDVI","5181",-4.05284223879198,0.457499051236303
"Vegetation","NDVI","5181",-3.92929108834952,0.443552163897449
"Vegetation","NDVI","5181",-3.80573993790706,0.429605276558594
"Vegetation","NDVI","5181",-3.68218878746459,0.41565838921974
"Vegetation","NDVI","5181",-3.55863763702213,0.401711501880886
"Vegetation","NDVI","5181",-3.43508648657966,0.387764614542032
"Vegetation","NDVI","5181",-3.3115353361372,0.373817727203178
"Vegetation","NDVI","5181",-3.18798418569473,0.359870839864324
"Vegetation","NDVI","5181",-3.06443303525227,0.34592395252547
"Vegetation","NDVI","5181",-2.94088188480981,0.331977065186616
"Vegetation","NDVI","5181",-2.81733073436734,0.318030177847761
"Vegetation","NDVI","5181",-2.69377958392488,0.304083290508907
"Vegetation","NDVI","5181",-2.57022843348241,0.290136403170053
"Vegetation","NDVI","5181",-2.44667728303995,0.276189515831199
"Vegetation","NDVI","5181",-2.32312613259748,0.262242628492345
"Vegetation","NDVI","5181",-2.19957498215502,0.248295741153491
"Vegetation","NDVI","5181",-2.07602383171256,0.234348853814637
"Vegetation","NDVI","5181",-1.95247268127009,0.220401966475783
"Vegetation","NDVI","5181",-1.82892153082763,0.206455079136928
"Vegetation","NDVI","5181",-1.70537038038516,0.192508191798074
"Vegetation","NDVI","5181",-1.5818192299427,0.17856130445922
"Vegetation","NDVI","5181",-1.45826807950023,0.164614417120366
"Vegetation","NDVI","5181",-1.33471692905777,0.150667529781512
"Vegetation","NDVI","5181",-1.2111657786153,0.136720642442658
"Vegetation","NDVI","5181",-1.08761462817284,0.122773755103804
"Vegetation","NDVI","5181",-0.964063477730376,0.10882686776495
"Vegetation","NDVI","5181",-0.840512327287912,0.0948799804260955
"Vegetation","NDVI","5181",-0.716961176845447,0.0809330930872413
"Vegetation","NDVI","5181",-0.593410026402983,0.0669862057483872
"Vegetation","NDVI","5181",-0.469858875960519,0.0530393184095331
"Vegetation","NDVI","5181",-0.346307725518054,0.0390924310706789
"Vegetation","NDVI","5181",-0.22275657507559,0.0251455437318248
"Vegetation","NDVI","5181",-0.0992054246331255,0.0111986563929707
"Vegetation","NDVI","5181",0.0243457258093391,-0.00274823094588348
"Vegetation","NDVI","5181",0.147896876251803,-0.0166951182847375
"Vegetation","NDVI","5181",0.271448026694268,-0.0306420056235917
"Vegetation","NDVI","5181",0.394999177136731,-0.0445888929624458
"Vegetation","NDVI","5181",0.518550327579196,-0.0585357803012999
"Vegetation","NDVI","5181",0.642101478021661,-0.0724826676401541
"Vegetation","NDVI","5181",0.765652628464125,-0.0864295549790082
"Vegetation","NDVI","5181",0.889203778906589,-0.100376442317862
"Vegetation","NDVI","5181",1.01275492934905,-0.114323329656716
"Vegetation","NDVI","5181",1.13630607979152,-0.128270216995571
"Vegetation","NDVI","5181",1.25985723023398,-0.142217104334425
"Vegetation","NDVI","5181",1.38340838067645,-0.156163991673279
"Vegetation","NDVI","5181",1.50695953111891,-0.170110879012133
"Vegetation","NDVI","5181",1.63051068156138,-0.184057766350987
"Vegetation","NDVI","5181",1.75406183200384,-0.198004653689841
"Vegetation","NDVI","5181",1.8776129824463,-0.211951541028695
"Vegetation","NDVI","5264",-5.41190489365909,-0.578763193077795
"Vegetation","NDVI","5264",-5.28835374321663,-0.565550311524334
"Vegetation","NDVI","5264",-5.16480259277416,-0.552337429970873
"Vegetation","NDVI","5264",-5.0412514423317,-0.539124548417411
"Vegetation","NDVI","5264",-4.91770029188923,-0.52591166686395
"Vegetation","NDVI","5264",-4.79414914144677,-0.512698785310488
"Vegetation","NDVI","5264",-4.67059799100431,-0.499485903757027
"Vegetation","NDVI","5264",-4.54704684056184,-0.486273022203565
"Vegetation","NDVI","5264",-4.42349569011938,-0.473060140650104
"Vegetation","NDVI","5264",-4.29994453967691,-0.459847259096643
"Vegetation","NDVI","5264",-4.17639338923445,-0.446634377543181
"Vegetation","NDVI","5264",-4.05284223879198,-0.43342149598972
"Vegetation","NDVI","5264",-3.92929108834952,-0.420208614436258
"Vegetation","NDVI","5264",-3.80573993790706,-0.406995732882797
"Vegetation","NDVI","5264",-3.68218878746459,-0.393782851329336
"Vegetation","NDVI","5264",-3.55863763702213,-0.380569969775874
"Vegetation","NDVI","5264",-3.43508648657966,-0.367357088222413
"Vegetation","NDVI","5264",-3.3115353361372,-0.354144206668951
"Vegetation","NDVI","5264",-3.18798418569473,-0.34093132511549
"Vegetation","NDVI","5264",-3.06443303525227,-0.327718443562029
"Vegetation","NDVI","5264",-2.94088188480981,-0.314505562008567
"Vegetation","NDVI","5264",-2.81733073436734,-0.301292680455106
"Vegetation","NDVI","5264",-2.69377958392488,-0.288079798901644
"Vegetation","NDVI","5264",-2.57022843348241,-0.274866917348183
"Vegetation","NDVI","5264",-2.44667728303995,-0.261654035794722
"Vegetation","NDVI","5264",-2.32312613259748,-0.24844115424126
"Vegetation","NDVI","5264",-2.19957498215502,-0.235228272687799
"Vegetation","NDVI","5264",-2.07602383171256,-0.222015391134337
"Vegetation","NDVI","5264",-1.95247268127009,-0.208802509580876
"Vegetation","NDVI","5264",-1.82892153082763,-0.195589628027415
"Vegetation","NDVI","5264",-1.70537038038516,-0.182376746473953
"Vegetation","NDVI","5264",-1.5818192299427,-0.169163864920492
"Vegetation","NDVI","5264",-1.45826807950023,-0.15595098336703
"Vegetation","NDVI","5264",-1.33471692905777,-0.142738101813569
"Vegetation","NDVI","5264",-1.2111657786153,-0.129525220260108
"Vegetation","NDVI","5264",-1.08761462817284,-0.116312338706646
"Vegetation","NDVI","5264",-0.964063477730376,-0.103099457153185
"Vegetation","NDVI","5264",-0.840512327287912,-0.0898865755997234
"Vegetation","NDVI","5264",-0.716961176845447,-0.0766736940462619
"Vegetation","NDVI","5264",-0.593410026402983,-0.0634608124928006
"Vegetation","NDVI","5264",-0.469858875960519,-0.0502479309393391
"Vegetation","NDVI","5264",-0.346307725518054,-0.0370350493858777
"Vegetation","NDVI","5264",-0.22275657507559,-0.0238221678324163
"Vegetation","NDVI","5264",-0.0992054246331255,-0.0106092862789549
"Vegetation","NDVI","5264",0.0243457258093391,0.00260359527450654
"Vegetation","NDVI","5264",0.147896876251803,0.0158164768279679
"Vegetation","NDVI","5264",0.271448026694268,0.0290293583814293
"Vegetation","NDVI","5264",0.394999177136731,0.0422422399348907
"Vegetation","NDVI","5264",0.518550327579196,0.0554551214883521
"Vegetation","NDVI","5264",0.642101478021661,0.0686680030418135
"Vegetation","NDVI","5264",0.765652628464125,0.0818808845952749
"Vegetation","NDVI","5264",0.889203778906589,0.0950937661487363
"Vegetation","NDVI","5264",1.01275492934905,0.108306647702198
"Vegetation","NDVI","5264",1.13630607979152,0.121519529255659
"Vegetation","NDVI","5264",1.25985723023398,0.134732410809121
"Vegetation","NDVI","5264",1.38340838067645,0.147945292362582
"Vegetation","NDVI","5264",1.50695953111891,0.161158173916043
"Vegetation","NDVI","5264",1.63051068156138,0.174371055469505
"Vegetation","NDVI","5264",1.75406183200384,0.187583937022966
"Vegetation","NDVI","5264",1.8776129824463,0.200796818576428
"Vegetation","NDVI","5268",-5.41190489365909,0.343798237440653
"Vegetation","NDVI","5268",-5.28835374321663,0.335949491280008
"Vegetation","NDVI","5268",-5.16480259277416,0.328100745119363
"Vegetation","NDVI","5268",-5.0412514423317,0.320251998958717
"Vegetation","NDVI","5268",-4.91770029188923,0.312403252798072
"Vegetation","NDVI","5268",-4.79414914144677,0.304554506637427
"Vegetation","NDVI","5268",-4.67059799100431,0.296705760476782
"Vegetation","NDVI","5268",-4.54704684056184,0.288857014316136
"Vegetation","NDVI","5268",-4.42349569011938,0.281008268155491
"Vegetation","NDVI","5268",-4.29994453967691,0.273159521994846
"Vegetation","NDVI","5268",-4.17639338923445,0.265310775834201
"Vegetation","NDVI","5268",-4.05284223879198,0.257462029673555
"Vegetation","NDVI","5268",-3.92929108834952,0.24961328351291
"Vegetation","NDVI","5268",-3.80573993790706,0.241764537352265
"Vegetation","NDVI","5268",-3.68218878746459,0.233915791191619
"Vegetation","NDVI","5268",-3.55863763702213,0.226067045030974
"Vegetation","NDVI","5268",-3.43508648657966,0.218218298870329
"Vegetation","NDVI","5268",-3.3115353361372,0.210369552709683
"Vegetation","NDVI","5268",-3.18798418569473,0.202520806549038
"Vegetation","NDVI","5268",-3.06443303525227,0.194672060388393
"Vegetation","NDVI","5268",-2.94088188480981,0.186823314227748
"Vegetation","NDVI","5268",-2.81733073436734,0.178974568067102
"Vegetation","NDVI","5268",-2.69377958392488,0.171125821906457
"Vegetation","NDVI","5268",-2.57022843348241,0.163277075745812
"Vegetation","NDVI","5268",-2.44667728303995,0.155428329585166
"Vegetation","NDVI","5268",-2.32312613259748,0.147579583424521
"Vegetation","NDVI","5268",-2.19957498215502,0.139730837263876
"Vegetation","NDVI","5268",-2.07602383171256,0.131882091103231
"Vegetation","NDVI","5268",-1.95247268127009,0.124033344942585
"Vegetation","NDVI","5268",-1.82892153082763,0.11618459878194
"Vegetation","NDVI","5268",-1.70537038038516,0.108335852621295
"Vegetation","NDVI","5268",-1.5818192299427,0.100487106460649
"Vegetation","NDVI","5268",-1.45826807950023,0.0926383603000042
"Vegetation","NDVI","5268",-1.33471692905777,0.0847896141393589
"Vegetation","NDVI","5268",-1.2111657786153,0.0769408679787136
"Vegetation","NDVI","5268",-1.08761462817284,0.0690921218180683
"Vegetation","NDVI","5268",-0.964063477730376,0.0612433756574231
"Vegetation","NDVI","5268",-0.840512327287912,0.0533946294967778
"Vegetation","NDVI","5268",-0.716961176845447,0.0455458833361325
"Vegetation","NDVI","5268",-0.593410026402983,0.0376971371754872
"Vegetation","NDVI","5268",-0.469858875960519,0.0298483910148419
"Vegetation","NDVI","5268",-0.346307725518054,0.0219996448541966
"Vegetation","NDVI","5268",-0.22275657507559,0.0141508986935513
"Vegetation","NDVI","5268",-0.0992054246331255,0.00630215253290602
"Vegetation","NDVI","5268",0.0243457258093391,-0.00154659362773929
"Vegetation","NDVI","5268",0.147896876251803,-0.00939533978838454
"Vegetation","NDVI","5268",0.271448026694268,-0.0172440859490298
"Vegetation","NDVI","5268",0.394999177136731,-0.0250928321096751
"Vegetation","NDVI","5268",0.518550327579196,-0.0329415782703204
"Vegetation","NDVI","5268",0.642101478021661,-0.0407903244309657
"Vegetation","NDVI","5268",0.765652628464125,-0.048639070591611
"Vegetation","NDVI","5268",0.889203778906589,-0.0564878167522563
"Vegetation","NDVI","5268",1.01275492934905,-0.0643365629129015
"Vegetation","NDVI","5268",1.13630607979152,-0.0721853090735468
"Vegetation","NDVI","5268",1.25985723023398,-0.0800340552341921
"Vegetation","NDVI","5268",1.38340838067645,-0.0878828013948374
"Vegetation","NDVI","5268",1.50695953111891,-0.0957315475554827
"Vegetation","NDVI","5268",1.63051068156138,-0.103580293716128
"Vegetation","NDVI","5268",1.75406183200384,-0.111429039876773
"Vegetation","NDVI","5268",1.8776129824463,-0.119277786037419
"Vegetation","NDVI","5270",-5.41190489365909,0.664709093682015
"Vegetation","NDVI","5270",-5.28835374321663,0.649534109116007
"Vegetation","NDVI","5270",-5.16480259277416,0.634359124549999
"Vegetation","NDVI","5270",-5.0412514423317,0.619184139983991
"Vegetation","NDVI","5270",-4.91770029188923,0.604009155417983
"Vegetation","NDVI","5270",-4.79414914144677,0.588834170851975
"Vegetation","NDVI","5270",-4.67059799100431,0.573659186285966
"Vegetation","NDVI","5270",-4.54704684056184,0.558484201719958
"Vegetation","NDVI","5270",-4.42349569011938,0.54330921715395
"Vegetation","NDVI","5270",-4.29994453967691,0.528134232587942
"Vegetation","NDVI","5270",-4.17639338923445,0.512959248021934
"Vegetation","NDVI","5270",-4.05284223879198,0.497784263455926
"Vegetation","NDVI","5270",-3.92929108834952,0.482609278889917
"Vegetation","NDVI","5270",-3.80573993790706,0.467434294323909
"Vegetation","NDVI","5270",-3.68218878746459,0.452259309757901
"Vegetation","NDVI","5270",-3.55863763702213,0.437084325191893
"Vegetation","NDVI","5270",-3.43508648657966,0.421909340625885
"Vegetation","NDVI","5270",-3.3115353361372,0.406734356059877
"Vegetation","NDVI","5270",-3.18798418569473,0.391559371493868
"Vegetation","NDVI","5270",-3.06443303525227,0.37638438692786
"Vegetation","NDVI","5270",-2.94088188480981,0.361209402361852
"Vegetation","NDVI","5270",-2.81733073436734,0.346034417795844
"Vegetation","NDVI","5270",-2.69377958392488,0.330859433229836
"Vegetation","NDVI","5270",-2.57022843348241,0.315684448663827
"Vegetation","NDVI","5270",-2.44667728303995,0.300509464097819
"Vegetation","NDVI","5270",-2.32312613259748,0.285334479531811
"Vegetation","NDVI","5270",-2.19957498215502,0.270159494965803
"Vegetation","NDVI","5270",-2.07602383171256,0.254984510399795
"Vegetation","NDVI","5270",-1.95247268127009,0.239809525833787
"Vegetation","NDVI","5270",-1.82892153082763,0.224634541267779
"Vegetation","NDVI","5270",-1.70537038038516,0.20945955670177
"Vegetation","NDVI","5270",-1.5818192299427,0.194284572135762
"Vegetation","NDVI","5270",-1.45826807950023,0.179109587569754
"Vegetation","NDVI","5270",-1.33471692905777,0.163934603003746
"Vegetation","NDVI","5270",-1.2111657786153,0.148759618437738
"Vegetation","NDVI","5270",-1.08761462817284,0.133584633871729
"Vegetation","NDVI","5270",-0.964063477730376,0.118409649305721
"Vegetation","NDVI","5270",-0.840512327287912,0.103234664739713
"Vegetation","NDVI","5270",-0.716961176845447,0.088059680173705
"Vegetation","NDVI","5270",-0.593410026402983,0.0728846956076969
"Vegetation","NDVI","5270",-0.469858875960519,0.0577097110416886
"Vegetation","NDVI","5270",-0.346307725518054,0.0425347264756804
"Vegetation","NDVI","5270",-0.22275657507559,0.0273597419096723
"Vegetation","NDVI","5270",-0.0992054246331255,0.0121847573436641
"Vegetation","NDVI","5270",0.0243457258093391,-0.0029902272223441
"Vegetation","NDVI","5270",0.147896876251803,-0.0181652117883522
"Vegetation","NDVI","5270",0.271448026694268,-0.0333401963543604
"Vegetation","NDVI","5270",0.394999177136731,-0.0485151809203685
"Vegetation","NDVI","5270",0.518550327579196,-0.0636901654863767
"Vegetation","NDVI","5270",0.642101478021661,-0.0788651500523849
"Vegetation","NDVI","5270",0.765652628464125,-0.094040134618393
"Vegetation","NDVI","5270",0.889203778906589,-0.109215119184401
"Vegetation","NDVI","5270",1.01275492934905,-0.124390103750409
"Vegetation","NDVI","5270",1.13630607979152,-0.139565088316418
"Vegetation","NDVI","5270",1.25985723023398,-0.154740072882426
