"group","id","niche_type","volume_boot_mean","volume_lwr","volume_upr"
"food","5181","Potential",2.14769598399032,1.50873284884436,2.96429036164047
"food","5181","Realized",219.674192562283,118.570185610671,290.544576529056
"food","5264","Potential",8.71560040462472,7.70169073736736,9.59210010191756
"food","5264","Realized",26.3517665618607,16.0659913538638,39.6001393916871
"food","5268","Potential",6.1173852883219,4.86331174796916,7.66933477261714
"food","5268","Realized",45.3236674915568,24.1330977280549,64.255325500924
"food","5270","Potential",4.55237589318676,3.53402859727557,5.75615039156182
"food","5270","Realized",9.26752036828644,6.23994214289379,12.8531117060906
"food","5277","Potential",8.86542265931596,6.85659918172019,12.0278833043579
"food","5277","Realized",10.1786664035149,2.23402403499543,25.8252468212942
"food","5278","Potential",1.99635702934526,1.45892158272267,2.82962077103436
"food","5278","Realized",7.28313502335854,4.41368770717547,10.935150950656
"food","5282","Potential",0.65188451053854,0.263109086736655,1.05601747768188
"food","5282","Realized",0.0902384746192281,0.0449809597672007,0.178801006299962
"food","5284","Potential",8.41096219525222,5.80692803043213,9.86334793360598
"food","5284","Realized",NA,NA,NA
"food","5285","Potential",1.79816370921848,1.39961205955283,2.13365602331107
"food","5285","Realized",0.365074780228454,0.250350120456902,0.594417244305484
"food","5301","Potential",6.99702763849567,6.5588087989916,7.5661466234051
"food","5301","Realized",11.6955800635716,10.5017357882033,12.9731743214742
"food","5303","Potential",103.028496238759,93.3465983034866,111.327368960004
"food","5303","Realized",92.845315688593,67.6779827179533,118.990653598922
"food","5308","Potential",1.02583940096531,0.361602576327985,1.56536942611979
"food","5308","Realized",0.954162077730007,0.0402645317698834,2.60279986622215
"food","5439","Potential",1.20390433088081,0.828435113373287,1.72635502098845
"food","5439","Realized",3.91006429376202,2.19285451529836,5.88893821353108
