"burst_","x1_","x2_","y1_","y2_","sl_","ta_","t1_","t2_","dt_","case_","step_id_","log_sl_","cos_ta_","id","ind_ident","etf_abundance_r","etf_abundance","moon_phase","moon_dist","pop_dens","crop_intens","p_glyphosate","p_mcpa","p_dicamba","p_pendimethalin","p_fluroxypy","p_tebuconazole","p_propiconazole","p_azoxystrobin","p_pyraclostrobin","id_row","temp_2m","t_precipitation","uc_wind_10m","vc_wind_10m","wind_speed_10m","swi_T2","thp","org_carbon","org_carbon_st","bulk_dens","nitrog","crop_type","NDVI","date","swi_T5","swi_T10","swi_T15","row_id","rsp_food","rsp_weather","rsp_soil","rsp_humans","rsp_veg"
11,4042845.87130032,4042832.40321014,3359703.83741656,3359747.07018084,45.2820202824766,2.67302589763329,2021-04-15 13:32:22,2021-04-15 16:32:24,3.00055555555556,TRUE,3,3.81291005044546,-0.892216468819502,"5308","Aagje",-0.704331418256528,-0.320976833507812,"New",1.44986089468713,0.0372529052882245,"Double-season",-0.35197994104825,0.00138681172393262,0.00548735680058599,0,0.000870880030561239,0,0.061190657045182,0,0,1,-0.982304456510681,-0.202710221456843,-2.76156616210938,-3.88544845581055,0.351315889806538,-0.263611017886121,-0.374155856225923,1.04693894982745,8,-0.0180035296370107,-0.0562943343083297,"Grassland",0.567614906013936,"2021-04-15",0.0583255058009742,0.159774321191401,0.130387834348245,1,0.543490142554045,0.519629630541888,0.585738233675406,0.560985864824597,0.48031521236704
11,4042832.40321014,4042987.85038042,3359747.07018084,3360344.65714472,617.473887826453,-0.556481357651169,2021-04-15 16:32:24,2021-04-15 19:32:20,2.99888888888889,TRUE,4,6.42563678068729,0.849118916546534,"5308","Aagje",-0.702911952071151,-0.319297969249555,"New",1.44986089468713,0.0372529052882245,"Background",-0.35197994104825,0.00138681172393262,0.00548735680058599,0,0.000870880030561239,0,0.061190657045182,0,0,12,-1.52057026573652,-0.202709094017021,-1.75785827636719,-2.88082885742188,-0.345846514689104,-0.263611017886121,-0.388283129039817,0.60261613948671,7.5,0.778954637684469,0.614207786329838,"Grassland",0.729724273162314,"2021-04-15",0.0583255058009742,0.159774321191401,0.130387834348245,2,0.184354426862197,0.140167978441647,0.190067860307365,0.0860803813198373,0.10052817574885
12,4042616.92356167,4044017.33417056,3359511.51394866,3361945.62133982,2808.20737574519,-0.992766664864908,2021-04-16 05:02:27,2021-04-16 08:02:40,3.00361111111111,TRUE,6,7.9403016141799,0.546374759877279,"5308","Aagje",-0.555319503437429,-0.144734348444466,"Waxing",1.37204275096266,0.0372529052882245,"Background",-0.353494751447899,0.00136342353653163,0.00534322950989008,0,0.000828917312901467,0,0.061190657045182,0,0,23,-1.04394707392647,-0.406281086631054,-1.7230224609375,-3.77232360839844,0.0409806829226759,0.00967532049707969,-0.454504720354945,0.296186776346232,9.30000019073486,-0.460759122647916,0.550583436185992,"Grassland",0.244168121084553,"2021-04-16",-0.0123339474985576,0.159774321191401,0.19504973427185,3,0.244094949673674,0.250800968296084,0.246099271061765,0.252530991355971,0.238651222983024
12,4044017.33417056,4041651.12145621,3361945.62133982,3359580.09706302,3345.84334864602,2.87812988776162,2021-04-16 08:02:40,2021-04-16 11:02:25,2.99583333333333,TRUE,7,8.1154740629511,-0.965493976300216,"5308","Aagje",-0.495745004726505,-0.0742724435220242,"Waxing",1.37204275096266,0.0372529052882245,"Background",-0.35197994104825,0.00138681172393262,0.00548735680058599,0,0.000870880030561239,0,0.061190657045182,0,0,34,-0.737966040597445,-0.406281086631054,-1.99154663085938,-4.85606384277344,0.592567703012598,0.00967532049707969,-0.296455855749507,1.59851156969326,10.3000001907349,-1.08061547500907,1.3336516250123,"Grassland",-0.501534967797986,"2021-04-16",0.27030386569957,0.349938893870418,0.324373534119059,4,0.459012385873001,0.49259229759993,0.58825798690331,0.503849432587594,0.522001543686329
12,4041855.32979275,4045214.65837232,3359971.1113386,3357889.43939259,3952.01804099017,-1.6442619322021,2021-04-16 14:02:25,2021-04-16 17:02:23,2.99944444444444,TRUE,9,8.28198162388522,-0.0733995385366371,"5308","Aagje",-0.555455374519764,-0.144893929204979,"Waxing",1.37204275096266,0.0372529052882245,"Background",-0.354813750728273,0.00139429059345275,0.00532125821337104,0,0.000823291775304824,0,0.061190657045182,0,0,56,-0.920634350748222,-0.406281086611547,-1.62803649902344,-3.89729309082031,0.0792803904805599,-0.126967848694521,-0.409768356444281,-0.274537678715856,9.39999961853027,-0.992064567528903,-0.115024629334006,"Grassland",0.75983029848987,"2021-04-16",-0.0123339474985576,0.0329979394053891,0.0657259344246407,5,0.514244555114177,0.449732101146604,0.482034366447322,0.458541885224539,0.465862007287408
12,4045214.65837232,4044543.80395195,3357889.43939259,3357839.63600073,672.700550886136,-2.512733208708,2021-04-16 17:02:23,2021-04-16 20:02:23,3,TRUE,10,6.51130028394922,-0.808698934667813,"5308","Aagje",-0.554178407274398,-0.143383977915451,"Waxing",1.37204275096266,0.0372529052882245,"Background",-0.354813750728273,0.00139429059345275,0.00532125821337104,0,0.000823291775304824,0,0.061190657045182,0,0,67,-1.53652999981527,-0.406135872413234,-1.55238342285156,-3.54469299316406,-0.0979816866003447,-0.126967848694521,-0.461568356761892,0.368963808538858,10.3999996185303,-1.52337106801997,1.14277880795328,"Grassland",0.285853386922708,"2021-04-16",-0.0123339474985576,0.0329979394053891,0.0657259344246407,6,0.357241974400321,0.285847575574822,0.42059187479387,0.200275405084695,0.242820781903559
12,4044543.80395195,4043758.54851188,3357839.63600073,3358424.41660035,979.078370640091,-0.714203996475735,2021-04-16 20:02:23,2021-04-16 23:02:21,2.99944444444444,TRUE,11,6.88661169105289,0.755614875709016,"5308","Aagje",-0.553473645074966,-0.142551544942485,"Waxing",1.37204275096266,0.0372529052882245,"Background",-0.354813750728273,0.00139429059345275,0.00532125821337104,0,0.000823291775304824,0,0.061190657045182,0,0,78,-1.7191268402647,-0.405991631335722,-0.775955200195312,-3.43344116210938,-0.273110144491509,0.14631848968868,-0.39917290183386,0.52600879870159,9.60000038146973,-1.43482016053981,1.5538894728979,"Grassland",0.498911412317719,"2021-04-16",-0.224312307397153,-0.0937784423806224,0.00106403450103611,7,0.144232363932633,0.104382379624654,0.210720408677246,0.101992672305194,0.0931799004259923
12,4043758.54851188,4043698.22159193,3358424.41660035,3358289.80344297,147.51284490143,1.78958290584917,2021-04-16 23:02:21,2021-04-17 02:02:40,3.00527777777778,TRUE,12,4.99391525606577,-0.217045288305989,"5308","Aagje",-0.341848358800998,0.107747611648533,"Waxing",1.21846624707836,0.0372529052882245,"Background",-0.354813750728273,0.00139429059345275,0.00532125821337104,0,0.000823291775304824,0,0.061190657045182,0,0,89,-1.80632537358303,-0.406871197727829,-0.107589721679688,-3.32379150390625,-0.370517760534566,0.14631848968868,-0.36326608343188,0.181275765168553,7.90000009536743,-0.0180035296370107,-0.52124123916045,"Grassland",0.498911412317719,"2021-04-17",-0.224312307397153,-0.0937784423806224,0.00106403450103611,8,0.153696632044942,0.145113263412783,0.140127989274221,0.145061624521952,0.159459751117078
12,4043698.22159193,4042854.08319507,3358289.80344297,3359734.76176635,1673.46173823815,-2.19156043761607,2021-04-17 02:02:40,2021-04-17 05:02:19,2.99416666666667,TRUE,13,7.4226496570725,-0.581656884189505,"5308","Aagje",-0.704331418256528,-0.320976833507812,"Waxing",1.21846624707836,0.0372529052882245,"Background",-0.35197994104825,0.00138681172393262,0.00548735680058599,0,0.000870880030561239,0,0.061190657045182,0,0,100,-1.78692959617006,-0.406871197727829,0.30926513671875,-3.55781555175781,-0.247468662528189,-0.263611017886121,-0.374155856225923,1.04693894982745,8,-0.0180035296370107,-0.0562943343083297,"Grassland",0.567614906013936,"2021-04-17",0.0583255058009742,0.159774321191401,0.130387834348245,9,0.26247100206518,0.216761317087212,0.287093890973491,0.213298155236279,0.206848097394754
12,4042854.08319507,4042604.51810112,3359734.76176635,3358365.51908972,1391.8003605525,2.4325890041387,2021-04-17 05:02:19,2021-04-17 08:02:40,3.00583333333333,TRUE,14,7.23835341146554,-0.759010954400258,"5308","Aagje",-0.451522833676563,-0.0219682161276064,"Waxing",1.21846624707836,0.0372529052882245,"Single_season",2.34000778636777,0,4.02357109123841e-05,0.00381595222279429,0,0,0.061190657045182,0.00867054611444473,0.0191912688314915,111,-1.02995000780022,-0.406871197727829,-0.448074340820312,-4.71595764160156,0.336459714178211,-0.263611017886121,-0.392697901794159,0.17744545657606,8.89999961853027,-0.283657307687588,-0.0122469047547225,"Grassland",0.603896526280477,"2021-04-17",-0.153652854097621,0.0329979394053891,0.0657259344246407,10,0.392666539949959,0.377635396985444,0.412587031750822,0.55897457782643,0.484149713634391
12,4042604.51810112,4042863.17445129,3358365.51908972,3359690.71066694,1350.19843868496,3.12911804870596,2021-04-17 08:02:40,2021-04-17 11:02:26,2.99611111111111,TRUE,15,7.20800685224876,-0.999922193125502,"5308","Aagje",-0.704331418256528,-0.320976833507812,"Waxing",1.21846624707836,0.0372529052882245,"Background",2.34000778636777,0,4.02357109123841e-05,0.00381595222279429,0,0,0.061190657045182,0.00867054611444473,0.0191912688314915,122,-0.76064667543792,-0.406871197727829,-0.647842407226562,-5.08314514160156,0.530306925863037,-0.263611017886121,-0.374155856225923,1.04693894982745,8,-0.0180035296370107,-0.0562943343083297,"Grassland",0.567614906013936,"2021-04-17",0.0583255058009742,0.159774321191401,0.130387834348245,11,0.524606895506649,0.400173804904193,0.494752684526513,0.426184208642192,0.534177655360824
